Time_ms,ADC_Raw,V_measured,V_source,Current_A,Power_W
35236,4,0.013,0.001,0.000001,0
35371,5,0.016,0.002,0.000002,0
35506,4,0.013,0.001,0.000001,0
35647,4,0.013,0.001,0.000001,0
35782,3,0.01,0.001,0.000001,0
35917,4,0.013,0.001,0.000001,0
36052,4,0.013,0.001,0.000001,0
36187,1,0.003,0,0,0
36322,4,0.013,0.001,0.000001,0
36457,5,0.016,0.002,0.000002,0
36592,4,0.013,0.001,0.000001,0
36727,4,0.013,0.001,0.000001,0
36862,4,0.013,0.001,0.000001,0
36997,5,0.016,0.002,0.000002,0
37132,6,0.019,0.002,0.000002,0
37267,3,0.01,0.001,0.000001,0
37410,3,0.01,0.001,0.000001,0
37545,4,0.013,0.001,0.000001,0
37680,4,0.013,0.001,0.000001,0
37815,4,0.013,0.001,0.000001,0
37950,4,0.013,0.001,0.000001,0
38085,4,0.013,0.001,0.000001,0
38220,4,0.013,0.001,0.000001,0
38355,5,0.016,0.002,0.000002,0
38490,4,0.013,0.001,0.000001,0
38625,5,0.016,0.002,0.000002,0
38760,2,0.006,0.001,0.000001,0
38940,4,0.013,0.001,0.000001,0
39075,3,0.01,0.001,0.000001,0
39210,4,0.013,0.001,0.000001,0
39342,3,0.01,0.001,0.000001,0
39477,4,0.013,0.001,0.000001,0
39612,4,0.013,0.001,0.000001,0
39747,4,0.013,0.001,0.000001,0
39882,4,0.013,0.001,0.000001,0
40017,4,0.013,0.001,0.000001,0
40152,4,0.013,0.001,0.000001,0
40287,4,0.013,0.001,0.000001,0
40422,4,0.013,0.001,0.000001,0
40557,4,0.013,0.001,0.000001,0
40692,3,0.01,0.001,0.000001,0
40827,4,0.013,0.001,0.000001,0
40962,4,0.013,0.001,0.000001,0
41106,4,0.013,0.001,0.000001,0
41241,4,0.013,0.001,0.000001,0
41376,4,0.013,0.001,0.000001,0
41511,5,0.016,0.002,0.000002,0
41646,3,0.01,0.001,0.000001,0
41781,3,0.01,0.001,0.000001,0
41916,3,0.01,0.001,0.000001,0
42051,4,0.013,0.001,0.000001,0
42186,4,0.013,0.001,0.000001,0
42321,4,0.013,0.001,0.000001,0
42456,3,0.01,0.001,0.000001,0
42591,4,0.013,0.001,0.000001,0
42726,3,0.01,0.001,0.000001,0
42870,4,0.013,0.001,0.000001,0
43005,4,0.013,0.001,0.000001,0
43140,3,0.01,0.001,0.000001,0
43275,4,0.013,0.001,0.000001,0
43410,4,0.013,0.001,0.000001,0
43545,4,0.013,0.001,0.000001,0
43680,3,0.01,0.001,0.000001,0
43815,1,0.003,0,0,0
43950,3,0.01,0.001,0.000001,0
44085,4,0.013,0.001,0.000001,0
44220,2,0.006,0.001,0.000001,0
44355,3,0.01,0.001,0.000001,0
44490,4,0.013,0.001,0.000001,0
44634,4,0.013,0.001,0.000001,0
44769,4,0.013,0.001,0.000001,0
44904,4,0.013,0.001,0.000001,0
45039,3,0.01,0.001,0.000001,0
45174,4,0.013,0.001,0.000001,0
45309,4,0.013,0.001,0.000001,0
45444,4,0.013,0.001,0.000001,0
45579,6,0.019,0.002,0.000002,0
45714,6,0.019,0.002,0.000002,0
45849,4,0.013,0.001,0.000001,0
45984,4,0.013,0.001,0.000001,0
46119,4,0.013,0.001,0.000001,0
46254,3,0.01,0.001,0.000001,0
46398,4,0.013,0.001,0.000001,0
46533,4,0.013,0.001,0.000001,0
46668,4,0.013,0.001,0.000001,0
46803,3,0.01,0.001,0.000001,0
46938,4,0.013,0.001,0.000001,0
47073,2,0.006,0.001,0.000001,0
47208,4,0.013,0.001,0.000001,0
47343,4,0.013,0.001,0.000001,0
47478,4,0.013,0.001,0.000001,0
47613,4,0.013,0.001,0.000001,0
47748,4,0.013,0.001,0.000001,0
47883,5,0.016,0.002,0.000002,0
48018,2,0.006,0.001,0.000001,0
48162,3,0.01,0.001,0.000001,0
48297,4,0.013,0.001,0.000001,0
48432,3,0.01,0.001,0.000001,0
48567,2,0.006,0.001,0.000001,0
48702,3,0.01,0.001,0.000001,0
48837,4,0.013,0.001,0.000001,0
48972,4,0.013,0.001,0.000001,0
49107,3,0.01,0.001,0.000001,0
49242,3,0.01,0.001,0.000001,0
49377,4,0.013,0.001,0.000001,0
49512,2,0.006,0.001,0.000001,0
49654,4,0.013,0.001,0.000001,0
49789,4,0.013,0.001,0.000001,0
49932,4,0.013,0.001,0.000001,0
50067,0,0,0,0,0
50202,5,0.016,0.002,0.000002,0
50337,4,0.013,0.001,0.000001,0
50472,4,0.013,0.001,0.000001,0
50607,3,0.01,0.001,0.000001,0
50742,1,0.003,0,0,0
50877,4,0.013,0.001,0.000001,0
51012,3,0.01,0.001,0.000001,0
51147,4,0.013,0.001,0.000001,0
51327,4,0.013,0.001,0.000001,0
51462,4,0.013,0.001,0.000001,0
51597,4,0.013,0.001,0.000001,0
51741,3,0.01,0.001,0.000001,0
51876,4,0.013,0.001,0.000001,0
52011,3,0.01,0.001,0.000001,0
52146,4,0.013,0.001,0.000001,0
52281,4,0.013,0.001,0.000001,0
52416,3,0.01,0.001,0.000001,0
52551,5,0.016,0.002,0.000002,0
