Time_ms,ADC_Raw,V_measured,V_source,Current_A,Power_W
17221,4,0.013,0.001,0.000001,0
17266,4,0.013,0.001,0.000001,0
17311,4,0.013,0.001,0.000001,0
17356,3,0.01,0.001,0.000001,0
17401,4,0.013,0.001,0.000001,0
17452,3,0.01,0.001,0.000001,0
17497,4,0.013,0.001,0.000001,0
17542,3,0.01,0.001,0.000001,0
17587,4,0.013,0.001,0.000001,0
17632,4,0.013,0.001,0.000001,0
17677,4,0.013,0.001,0.000001,0
17722,3,0.01,0.001,0.000001,0
17767,5,0.016,0.002,0.000002,0
17812,5,0.016,0.002,0.000002,0
17857,3,0.01,0.001,0.000001,0
17902,4,0.013,0.001,0.000001,0
17947,4,0.013,0.001,0.000001,0
17992,3,0.01,0.001,0.000001,0
18043,4,0.013,0.001,0.000001,0
18088,4,0.013,0.001,0.000001,0
18133,4,0.013,0.001,0.000001,0
18178,4,0.013,0.001,0.000001,0
18223,4,0.013,0.001,0.000001,0
18268,4,0.013,0.001,0.000001,0
18313,2,0.006,0.001,0.000001,0
18358,3,0.01,0.001,0.000001,0
18403,5,0.016,0.002,0.000002,0
18448,4,0.013,0.001,0.000001,0
18493,0,0,0,0,0
18538,4,0.013,0.001,0.000001,0
18583,4,0.013,0.001,0.000001,0
18634,4,0.013,0.001,0.000001,0
18679,3,0.01,0.001,0.000001,0
18724,4,0.013,0.001,0.000001,0
18769,3,0.01,0.001,0.000001,0
18814,4,0.013,0.001,0.000001,0
18859,4,0.013,0.001,0.000001,0
18904,4,0.013,0.001,0.000001,0
18949,4,0.013,0.001,0.000001,0
18994,4,0.013,0.001,0.000001,0
19039,3,0.01,0.001,0.000001,0
19084,2,0.006,0.001,0.000001,0
19129,4,0.013,0.001,0.000001,0
19174,3,0.01,0.001,0.000001,0
19225,2,0.006,0.001,0.000001,0
19270,3,0.01,0.001,0.000001,0
19315,3,0.01,0.001,0.000001,0
19360,1,0.003,0,0,0
19405,3,0.01,0.001,0.000001,0
19450,3,0.01,0.001,0.000001,0
19495,2,0.006,0.001,0.000001,0
19540,4,0.013,0.001,0.000001,0
19585,4,0.013,0.001,0.000001,0
19630,2,0.006,0.001,0.000001,0
19675,4,0.013,0.001,0.000001,0
19720,3,0.01,0.001,0.000001,0
19765,4,0.013,0.001,0.000001,0
19824,3,0.01,0.001,0.000001,0
19869,4,0.013,0.001,0.000001,0
19914,4,0.013,0.001,0.000001,0
19959,2,0.006,0.001,0.000001,0
20004,3,0.01,0.001,0.000001,0
20049,4,0.013,0.001,0.000001,0
20094,2,0.006,0.001,0.000001,0
20139,4,0.013,0.001,0.000001,0
20184,2,0.006,0.001,0.000001,0
20229,4,0.013,0.001,0.000001,0
20274,4,0.013,0.001,0.000001,0
20319,3,0.01,0.001,0.000001,0
20364,4,0.013,0.001,0.000001,0
20417,4,0.013,0.001,0.000001,0
20462,5,0.016,0.002,0.000002,0
20507,3,0.01,0.001,0.000001,0
20552,2,0.006,0.001,0.000001,0
